,open,high,low,close,volume,date
87,15.762,15.84,14.8,15.119,615712.74395,2020-06-27
88,15.119,15.475,14.904,15.367,234612.45573,2020-06-28
89,15.367,15.576,15.196,15.461,262851.3364,2020-06-29
90,15.461,15.525,15.253,15.398,49227.2941,2020-06-30
91,15.398,15.879,15.339,15.822,76729.11571,2020-07-01
92,15.822,15.961,15.083,15.364,379335.58025,2020-07-02
93,15.364,15.467,15.268,15.287,44707.68951,2020-07-03
94,15.287,15.626,15.238,15.552,72644.99377,2020-07-04
95,15.552,15.596,15.131,15.496,112558.48343,2020-07-05
96,15.496,16.334,15.462,16.313,75768.33455,2020-07-06
97,16.313,16.857,16.039,16.785,614583.95094,2020-07-07
98,16.785,17.448,16.601,17.266,918005.73197,2020-07-08
99,17.266,17.488,16.483,16.82,749444.30917,2020-07-09
100,16.82,17.335,16.444,17.296,668349.27137,2020-07-10
101,17.296,17.667,17.039,17.616,858162.02519,2020-07-11
102,17.616,18.587,17.612,18.3,1768030.15749,2020-07-12
103,18.3,18.991,17.75,18.398,1960955.77707,2020-07-13
104,18.398,18.732,17.899,18.084,1902900.09013,2020-07-14
105,18.084,18.133,17.433,17.602,936756.68774,2020-07-15
106,17.602,17.732,16.542,17.149,1566522.05575,2020-07-16
107,17.149,17.455,16.959,17.074,871465.82231,2020-07-17
108,17.074,17.319,16.836,17.151,515192.76471,2020-07-18
109,17.151,18.091,16.897,18.014,1080340.05497,2020-07-19
110,18.014,18.324,17.268,17.48,816331.64632,2020-07-20
111,17.48,17.986,17.417,17.729,522888.57886,2020-07-21
112,17.729,18.128,17.451,18.112,525495.83929,2020-07-22
113,18.112,18.777,18.085,18.773,473455.39867,2020-07-23
114,18.773,19.568,18.23,19.197,1050980.26442,2020-07-24
115,19.197,20.054,19.184,19.832,805746.35314,2020-07-25
116,19.832,20.307,19.288,19.563,1202085.28715,2020-07-26
117,19.563,20.221,18.413,19.796,1736075.56155,2020-07-27
118,19.796,20.688,19.473,20.178,948352.48018,2020-07-28
119,20.178,20.397,19.807,19.898,267159.16956,2020-07-29
120,19.898,20.109,19.511,20.011,230303.31267,2020-07-30
121,20.011,20.849,19.947,20.692,376776.22894,2020-07-31
122,20.692,21.754,20.616,21.626,925553.19155,2020-08-01
123,21.626,22.174,19.81,20.985,1083498.1687,2020-08-02
124,20.985,22.49,20.704,22.059,964495.37727,2020-08-03
125,22.059,22.454,21.457,22.308,661658.40018,2020-08-04
126,22.308,23.525,22.077,23.289,1379798.63455,2020-08-05
127,23.289,23.309,22.567,22.746,507473.11201,2020-08-06
128,22.746,22.977,21.501,22.34,850880.80166,2020-08-07
129,22.34,22.92,21.882,22.92,168256.68232,2020-08-08
130,22.92,22.92,22.068,22.435,81259.73342,2020-08-09
131,22.435,22.802,22.059,22.635,116532.43371,2020-08-10
132,22.635,22.721,20.682,21.254,259453.29388,2020-08-11
133,21.254,21.969,20.573,21.513,220545.04423,2020-08-12
134,21.513,21.862,20.67,21.79,1133195.78554,2020-08-13
135,21.79,23.307,21.312,23.128,500885.67905,2020-08-14
136,23.128,23.787,22.781,23.084,287469.48559,2020-08-15
137,23.084,23.769,22.741,23.516,289623.30579,2020-08-16
138,23.516,23.935,23.007,23.544,332687.02324,2020-08-17
139,23.544,23.778,22.429,23.014,398665.73588,2020-08-18
140,23.014,23.246,21.872,22.369,218678.66295,2020-08-19
141,22.369,23.318,22.048,23.093,214167.35448,2020-08-20
142,23.093,23.305,21.73,22.066,495109.84089,2020-08-21
143,22.066,22.246,21.29,22.206,762107.59492,2020-08-22
144,22.206,22.229,21.577,21.851,449793.51298,2020-08-23
145,21.851,22.972,21.698,22.605,273623.2724,2020-08-24
146,22.605,22.627,21.0,21.415,431735.10108,2020-08-25
147,21.415,22.472,21.288,22.21,596085.63973,2020-08-26
148,22.21,23.122,21.828,23.093,480095.55013,2020-08-27
149,23.093,23.557,22.655,23.095,640371.0372,2020-08-28
150,23.095,23.502,22.781,22.958,373822.10727,2020-08-29
151,22.958,23.811,22.916,23.613,288426.66066,2020-08-30
152,23.613,23.904,22.985,23.136,403893.51921,2020-08-31
153,23.136,25.436,22.86,24.729,1513244.77103,2020-09-01
154,24.729,25.812,23.182,24.723,2630604.76936,2020-09-02
155,24.723,25.55,20.192,20.457,3660966.24071,2020-09-03
156,20.457,21.836,19.4,20.987,1840144.08637,2020-09-04
157,20.987,21.499,18.016,19.462,2365896.5404,2020-09-05
158,19.462,23.431,18.552,23.163,3214586.1374,2020-09-06
159,23.163,23.529,20.075,22.431,3574020.82253,2020-09-07
160,22.431,23.408,21.289,23.263,6119874.12121,2020-09-08
161,23.263,24.543,22.435,24.485,4015748.52893,2020-09-09
162,24.485,25.595,24.119,24.54,3496588.03368,2020-09-10
163,24.54,25.689,23.1,25.41,3954604.87068,2020-09-11
164,25.41,28.529,25.4,28.529,6771446.31841,2020-09-12
165,28.529,32.387,28.1,31.167,12205248.10065,2020-09-13
166,31.165,33.383,29.09,31.242,13135880.37433,2020-09-14
167,31.242,31.263,26.765,27.109,12126539.07578,2020-09-15
168,27.109,28.435,25.879,27.857,7154643.02182,2020-09-16
